epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.6580150723457336,0.7168751955032349,0.0010000000474974513,0.6318380236625671,0.7372679710388184,0.6507036089897156,0.6854320764541626,0.7545595169067383,0.5927193760871887,0.7681992053985596,0.6700083613395691
1,0.6896551847457886,0.7565505504608154,0.0010000000474974513,0.5868270993232727,0.7613847851753235,0.6883007884025574,0.6992592811584473,0.7669082880020142,0.5695061087608337,0.7401960492134094,0.756892204284668
2,0.6979359984397888,0.7683212161064148,0.0010000000474974513,0.5741680264472961,0.7639553546905518,0.7042638063430786,0.712592601776123,0.7764232158660889,0.5583744049072266,0.7543424367904663,0.761904776096344
3,0.6959584951400757,0.7659302353858948,0.0010000000474974513,0.5769898295402527,0.7661346197128296,0.695652186870575,0.7239506244659424,0.7728933691978455,0.5626108646392822,0.7311594486236572,0.8429406881332397
4,0.7026325464248657,0.7720942497253418,0.0010000000474974513,0.570931613445282,0.7711259722709656,0.7034236788749695,0.7219753265380859,0.7750182747840881,0.5572771430015564,0.7416158318519592,0.8128654956817627
5,0.7027561664581299,0.7736430168151855,0.0010000000474974513,0.5682918429374695,0.7662748694419861,0.7120352983474731,0.7175308465957642,0.7797780632972717,0.5565425753593445,0.7555192112922668,0.7719298005104065
6,0.6981831789016724,0.7759288549423218,0.0010000000474974513,0.5650508999824524,0.7685893177986145,0.696912407875061,0.7254320979118347,0.7742851972579956,0.5560610294342041,0.7287651896476746,0.852965772151947
7,0.7020145654678345,0.7766445279121399,0.0010000000474974513,0.5643896460533142,0.7703635692596436,0.703213632106781,0.6790123581886292,0.7765468955039978,0.5804120898246765,0.792513370513916,0.6190476417541504
0,0.7085650563240051,0.7841078639030457,1.9999999494757503e-05,0.5574173331260681,0.7776750922203064,0.7067843079566956,0.7264197468757629,0.7837059497833252,0.5481492280960083,0.7533490657806396,0.798663318157196
1,0.7138796448707581,0.7979236841201782,1.9999999494757503e-05,0.5410945415496826,0.7856141924858093,0.7065742611885071,0.726913571357727,0.7900704741477966,0.5380429029464722,0.7605177760124207,0.7852965593338013
2,0.7309356331825256,0.8053320646286011,1.9999999494757503e-05,0.5341523885726929,0.7971481084823608,0.7279983162879944,0.7076542973518372,0.7897011637687683,0.5489587187767029,0.7732610702514648,0.7151211500167847
3,0.7240143418312073,0.8078739643096924,1.9999999494757503e-05,0.5299654006958008,0.7932714819908142,0.7181264162063599,0.7372839450836182,0.798458993434906,0.5342467427253723,0.7536231875419617,0.8253968358039856
4,0.7329131364822388,0.8137608170509338,1.9999999494757503e-05,0.5237496495246887,0.8023256063461304,0.7246376872062683,0.7397530674934387,0.8052942156791687,0.5228179693222046,0.7641955614089966,0.8095238208770752
5,0.7371153235435486,0.8210070133209229,1.9999999494757503e-05,0.5136407017707825,0.8010973930358887,0.7359798550605774,0.7037037014961243,0.7969663143157959,0.5461720824241638,0.7878495454788208,0.682539701461792
6,0.7361265420913696,0.8187233209609985,1.9999999494757503e-05,0.5196087956428528,0.8080713152885437,0.7233774662017822,0.7372839450836182,0.8037348985671997,0.5299780964851379,0.7692307829856873,0.7936508059501648
7,0.747373640537262,0.8310691118240356,9.999999747378752e-06,0.5015863180160522,0.8142493367195129,0.7393404841423035,0.7441975474357605,0.8059747815132141,0.5294049382209778,0.7744542956352234,0.8003341555595398
8,0.7538005113601685,0.8363340497016907,9.999999747378752e-06,0.4952150285243988,0.8195245862007141,0.7458516955375671,0.7441975474357605,0.8073545694351196,0.5253256559371948,0.7757920622825623,0.7978278994560242
9,0.7608453631401062,0.8407886028289795,4.999999873689376e-06,0.49194464087486267,0.8227500915527344,0.7565637230873108,0.7348148226737976,0.807273805141449,0.5291030406951904,0.783993124961853,0.7610693573951721
10,0.7618341445922852,0.8426939249038696,4.999999873689376e-06,0.486223042011261,0.8241079449653625,0.7567737698554993,0.7338271737098694,0.8069701194763184,0.5306346416473389,0.7850953340530396,0.756892204284668
11,0.7562723755836487,0.8452625274658203,2.499999936844688e-06,0.48214849829673767,0.824076235294342,0.7448015213012695,0.7417283654212952,0.8062558174133301,0.5319682359695435,0.7775947451591492,0.7886382341384888
12,0.761710524559021,0.8448291420936584,2.499999936844688e-06,0.4820794463157654,0.8231804966926575,0.7578240036964417,0.7382715940475464,0.8077374696731567,0.5293658971786499,0.7862660884857178,0.7652464509010315
13,0.7561488151550293,0.8456423878669739,1.249999968422344e-06,0.48073503375053406,0.8219399452209473,0.7475320100784302,0.7387654185295105,0.8080916404724121,0.5290591716766357,0.7864493727684021,0.7660818696022034
14,0.7613397836685181,0.8457129597663879,1.249999968422344e-06,0.48163285851478577,0.8270919919013977,0.7515227794647217,0.7387654185295105,0.8075805902481079,0.5298593044281006,0.7830508351325989,0.7719298005104065
15,0.7609689831733704,0.8490070700645447,6.24999984211172e-07,0.47617995738983154,0.8280343413352966,0.7494223713874817,0.7417283654212952,0.8079195618629456,0.5292626619338989,0.7813021540641785,0.7819548845291138
16,0.7686318159103394,0.8519816398620605,6.24999984211172e-07,0.4742911756038666,0.833217978477478,0.7586641311645508,0.7417283654212952,0.807733952999115,0.5298042297363281,0.7831932902336121,0.7786132097244263
17,0.7610925436019897,0.8488268852233887,3.12499992105586e-07,0.4779680669307709,0.8276181817054749,0.7502625584602356,0.7392592430114746,0.8078464269638062,0.5297216176986694,0.7827557325363159,0.773600697517395
18,0.7610925436019897,0.8462087512016296,3.12499992105586e-07,0.48233428597450256,0.825356662273407,0.7534131407737732,0.7397530674934387,0.8079297542572021,0.5296911597251892,0.7829391956329346,0.7744361162185669
