epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.5775552988052368,0.6119997501373291,0.0010000000474974513,0.6860779523849487,0.6680009961128235,0.5608065724372864,0.6483950614929199,0.6957510709762573,0.6346110701560974,0.7325024008750916,0.6382623314857483
1,0.6473859548568726,0.697880744934082,0.0010000000474974513,0.6344599723815918,0.7375497817993164,0.6221382021903992,0.6503703594207764,0.702773928642273,0.6353201866149902,0.7317535281181335,0.6449456810951233
2,0.660610556602478,0.7159773111343384,0.0010000000474974513,0.6216593384742737,0.7428296208381653,0.6473429799079895,0.6943209767341614,0.7134780287742615,0.6179965734481812,0.7261345982551575,0.7752715349197388
3,0.6707452535629272,0.7254750728607178,0.0010000000474974513,0.6137202978134155,0.7433279156684875,0.6727578043937683,0.6898765563964844,0.7275011539459229,0.602396547794342,0.7333880066871643,0.7468671798706055
4,0.6796440482139587,0.7305351495742798,0.0010000000474974513,0.6100723147392273,0.7476592659950256,0.6876706480979919,0.6854320764541626,0.7415135502815247,0.5960954427719116,0.7405498027801514,0.7201336622238159
5,0.6831046938896179,0.7423099279403687,0.0010000000474974513,0.5985958576202393,0.7541059255599976,0.6847301125526428,0.7061728239059448,0.7611486315727234,0.5836877226829529,0.6980262994766235,0.8863826394081116
6,0.6885428428649902,0.7511207461357117,0.0010000000474974513,0.5914393067359924,0.7554137110710144,0.6960722804069519,0.6943209767341614,0.7687062621116638,0.5731415748596191,0.7566607594490051,0.7117794752120972
7,0.6885428428649902,0.7557529807090759,0.0010000000474974513,0.5861466526985168,0.7600371241569519,0.6878806948661804,0.7041975259780884,0.775013267993927,0.5615743398666382,0.7446808218955994,0.7602339386940002
0,0.6831046938896179,0.7387818694114685,1.9999999494757503e-05,0.6068791151046753,0.7633661031723022,0.6687670946121216,0.7190123200416565,0.7972083687782288,0.5610941648483276,0.7195804119110107,0.859649121761322
1,0.6937337517738342,0.7583551406860352,1.9999999494757503e-05,0.5871686935424805,0.7613922357559204,0.6983826756477356,0.7091358304023743,0.7781445980072021,0.5640668272972107,0.7349304556846619,0.7944862246513367
2,0.7064639925956726,0.7649441957473755,1.9999999494757503e-05,0.5804068446159363,0.7760295867919922,0.7044738531112671,0.736790120601654,0.7968885898590088,0.5613758563995361,0.7585669755935669,0.8137009143829346
3,0.7119021415710449,0.7777690291404724,9.999999747378752e-06,0.5678969621658325,0.7762619256973267,0.7170762419700623,0.7155555486679077,0.8096241354942322,0.5490338802337646,0.8017492890357971,0.689223051071167
4,0.7148683667182922,0.7894144058227539,9.999999747378752e-06,0.5530022978782654,0.7798813581466675,0.7181264162063599,0.7096296548843384,0.7984812259674072,0.5671707987785339,0.776566743850708,0.7142857313156128
5,0.7159807085990906,0.7914255261421204,9.999999747378752e-06,0.5519059300422668,0.7831685543060303,0.7153959274291992,0.7358024716377258,0.8079574108123779,0.5250177979469299,0.7409024834632874,0.8504594564437866
6,0.7179582118988037,0.7998197078704834,9.999999747378752e-06,0.5398421883583069,0.7830554842948914,0.7202268242835999,0.7328395247459412,0.8097729682922363,0.5223182439804077,0.765802264213562,0.7894737124443054
7,0.7236435413360596,0.8053494691848755,9.999999747378752e-06,0.5344539880752563,0.7856981158256531,0.7292585372924805,0.7417283654212952,0.8211818337440491,0.5075762867927551,0.7641065716743469,0.8145363330841064
8,0.7275985479354858,0.805548906326294,9.999999747378752e-06,0.5353843569755554,0.7947890162467957,0.7240075469017029,0.7486419677734375,0.8214703798294067,0.5094150900840759,0.759036123752594,0.8421052694320679
9,0.7230255603790283,0.8042922616004944,9.999999747378752e-06,0.5326796174049377,0.791936993598938,0.7179164290428162,0.7229629755020142,0.8113459944725037,0.5267811417579651,0.790145993232727,0.7234753370285034
10,0.7329131364822388,0.8207545876502991,4.999999873689376e-06,0.5116555094718933,0.8007866740226746,0.7269481420516968,0.7372839450836182,0.8256227970123291,0.5163457989692688,0.8009049892425537,0.7393483519554138
11,0.7345198392868042,0.8267199397087097,4.999999873689376e-06,0.5022302269935608,0.8112937808036804,0.7151858806610107,0.7333333492279053,0.8237194418907166,0.5183207392692566,0.8161693811416626,0.7084377408027649
12,0.7491039633750916,0.8370482325553894,2.499999936844688e-06,0.4879840612411499,0.822736918926239,0.731148898601532,0.7476543188095093,0.8200669288635254,0.5499576926231384,0.7820723652839661,0.7944862246513367
13,0.7504634857177734,0.8390370607376099,2.499999936844688e-06,0.4896835684776306,0.822436511516571,0.7345095276832581,0.760493814945221,0.8259144425392151,0.5081167221069336,0.7976588606834412,0.7969924807548523
14,0.7575083374977112,0.8452327251434326,1.249999968422344e-06,0.4763752222061157,0.8325017690658569,0.7359798550605774,0.7392592430114746,0.8240710496902466,0.5196436643600464,0.7876182198524475,0.7652464509010315
15,0.7560251951217651,0.8478904366493225,1.249999968422344e-06,0.46868664026260376,0.8355405926704407,0.7288385033607483,0.7264197468757629,0.8270701169967651,0.5258826613426208,0.8024458885192871,0.712614893913269
16,0.7601038217544556,0.8505710363388062,6.24999984211172e-07,0.46417132019996643,0.8476331233978271,0.7221171855926514,0.7377777695655823,0.8220107555389404,0.5378025770187378,0.7851027250289917,0.7660818696022034
17,0.7587442994117737,0.8529408574104309,6.24999984211172e-07,0.4624020755290985,0.8423104882240295,0.7258979082107544,0.7328395247459412,0.8165543079376221,0.5465364456176758,0.7817869186401367,0.7602339386940002
18,0.7624521255493164,0.8553268909454346,3.12499992105586e-07,0.46032440662384033,0.8486858010292053,0.7256878614425659,0.7348148226737976,0.8240987658500671,0.5335702300071716,0.7951699495315552,0.7426900863647461
19,0.7588678598403931,0.85399329662323,3.12499992105586e-07,0.45820775628089905,0.8431851267814636,0.7250577807426453,0.7362962961196899,0.8218305706977844,0.5449424982070923,0.7890148162841797,0.7560567855834961
20,0.7624521255493164,0.8560876846313477,1.56249996052793e-07,0.45650652050971985,0.8485146164894104,0.7258979082107544,0.7313580513000488,0.8223602175712585,0.5407297015190125,0.7902222275733948,0.7426900863647461
